443135,d004,1999-06-09,9999-01-01
443136,d004,1989-11-18,9999-01-01
443137,d007,1996-07-19,2001-05-14
443137,d009,2001-05-14,9999-01-01
443138,d001,1989-12-30,9999-01-01
443139,d007,1995-10-30,2000-08-26
443140,d007,1985-12-06,9999-01-01
443141,d001,1998-07-14,9999-01-01
443142,d001,1987-10-30,9999-01-01
443143,d005,1999-05-05,9999-01-01
443144,d004,1997-08-14,9999-01-01
443145,d007,1988-03-09,9999-01-01
443146,d001,1994-07-23,2000-08-04
443146,d007,2000-08-04,9999-01-01
443147,d004,1995-06-10,1999-12-25
443148,d008,1990-09-22,9999-01-01
443149,d004,1995-11-12,9999-01-01
443150,d005,1987-06-21,9999-01-01
443151,d004,1999-03-08,9999-01-01
443152,d005,1989-12-23,9999-01-01
443153,d005,1993-11-05,9999-01-01
443154,d005,1987-02-19,9999-01-01
443155,d004,1999-06-30,2000-06-05
443155,d005,1998-02-01,1999-06-30
443156,d001,1999-02-02,9999-01-01
443157,d004,1988-04-20,9999-01-01
443158,d007,1998-10-12,9999-01-01
443159,d003,1993-08-31,9999-01-01
443160,d005,1988-08-11,9999-01-01
443161,d007,1987-09-22,9999-01-01
443162,d005,1992-01-11,9999-01-01
443163,d003,1999-12-07,9999-01-01
443164,d004,1993-12-08,1997-03-08
443164,d005,1990-10-31,1993-12-08
443165,d002,1992-05-30,9999-01-01
443166,d005,1998-11-19,9999-01-01
443167,d007,1995-01-03,9999-01-01
443168,d003,1992-02-03,2000-12-21
443169,d004,1989-12-08,9999-01-01
443170,d005,1997-10-21,9999-01-01
443171,d005,1998-08-23,9999-01-01
443172,d002,1996-09-18,9999-01-01
443173,d004,1995-04-03,9999-01-01
443173,d005,1993-04-28,1995-04-03
443174,d005,2000-01-05,9999-01-01
443175,d006,1989-04-05,9999-01-01
443176,d005,1998-03-06,1999-08-18
443177,d001,1986-12-20,9999-01-01
443178,d007,1992-08-09,9999-01-01
443179,d005,1988-06-15,9999-01-01
443180,d007,1987-04-08,9999-01-01
443181,d005,1999-11-07,9999-01-01
443182,d005,1986-08-03,9999-01-01
443183,d004,2002-01-24,9999-01-01
443183,d005,1989-07-18,2002-01-24
443184,d005,1993-10-17,9999-01-01
443185,d008,1996-09-13,1998-09-17
443186,d003,1996-08-26,9999-01-01
443187,d003,1993-12-19,9999-01-01
443188,d003,1992-10-12,9999-01-01
443189,d008,1995-02-26,1999-03-07
443190,d005,1993-06-27,9999-01-01
443191,d007,1995-09-08,9999-01-01
443192,d004,1998-03-09,2001-08-18
443192,d006,2001-08-18,9999-01-01
443193,d003,1990-11-11,9999-01-01
443194,d004,1998-04-29,9999-01-01
443195,d004,1998-11-18,9999-01-01
443196,d007,1986-12-12,9999-01-01
443197,d005,1992-08-16,1994-08-16
443198,d004,1993-09-26,9999-01-01
443199,d008,1988-04-27,9999-01-01
443200,d005,1993-07-08,1997-05-04
443201,d004,1991-06-23,2000-09-03
443201,d006,2000-09-03,9999-01-01
443202,d005,1988-12-25,9999-01-01
443203,d006,1989-09-23,1990-06-04
443204,d005,1985-02-25,9999-01-01
443205,d005,1990-06-24,9999-01-01
443206,d001,1987-09-18,9999-01-01
443207,d004,1999-06-08,9999-01-01
443208,d005,1985-11-13,9999-01-01
443209,d001,1986-08-29,9999-01-01
443210,d001,2000-01-06,9999-01-01
443210,d007,1995-07-07,2000-01-06
